Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5062141525,,,
5062141531,,,
5062141606,,,
5062141620,,,
5062141622,,,
5062141682,,,
5062141725,,,
5062141750,,,
5062141836,,,
5062141849,,,
5062141853,,,
5062141890,,,
5062141903,,,
5062141930,,,
5062141990,,,
5062142061,,,
5062142072,,,
5062142091,,,
5062142148,,,
5062142181,,,
5062142221,,,
5062142291,,,
5062142378,,,
5062142380,,,
5062142502,,,
5062142532,,,
5062142566,,,
5062142571,,,
5062142630,,,
5062142636,,,
5062142644,,,
5062142688,,,
5062142731,,,
5062142734,,,
5062142743,,,
5062142760,,,
5062142802,,,
5062142830,,,
5062142833,,,
5062142911,,,
5062142915,,,
5062142930,,,
5062142945,,,
5062142948,,,
5062142957,,,
5062143076,,,
5062143129,,,
5062143137,,,
5062165127,,,
5062165175,,,
5062348416,,,
5062348482,,,
5062348488,,,
5062348740,,,
5062348741,,,
5062348831,,,
5062348838,,,
5062348839,,,
5062348840,,,
5062349165,,,
5062351391,,,
5062351433,,,
5062351441,,,
5062351467,,,
5062351469,,,
5062351486,,,
5062351525,,,
5062351534,,,
5062351538,,,
5062351689,,,
5062351704,,,
5062351706,,,
5062351713,,,
5062351724,,,
5062351760,,,
5062351824,,,
5062351825,,,
5062351829,,,
5062388231,Viken Gruppen AS,5044721098,NO
5062388318,Kmc Properties ASA,5000061331,NO
5062388420,,,
5062388447,TK Eiendom AS,5052520063,NO
5062388646,Svenneby Sag Og Hovleri AS,5062388646,NO
5062388819,,,
5062389008,RHI Magnesita NV,5057993615,AT
5062389024,Hustadlitt AS,5038912055,NO
5062389128,,,
5062455107,,,
5062459910,,,
5063190558,,,
5063190685,,,
5063190729,,,
5063190802,,,
5063190836,,,
5063190852,,,
5063190854,,,
5063190866,,,
5063190870,,,
5063190878,,,
5063190914,,,
5063190951,,,
5063190989,,,
5063191024,,,
5063191037,,,
5063191091,Vestmek ANS,5063191091,NO
5063191175,,,
5063191184,,,
5063191219,Martin Utvikling As,5042954310,NO
5063191243,,,
5063191251,,,
5063191376,,,
5063191430,,,
5063191466,,,
5063191603,,,
5063191610,Aknes Skog DA,5063191610,NO
5063191925,,,
5063191933,Norddal Saglag LL,5063191933,NO
5063191982,,,
5063191992,,,
5063192122,Nord-Atndalen Andelssag,5063192122,NO
5063192205,,,
5063282442,Mhholding As,5038911943,NO
5063297241,,,
5063313957,Leonhard Nilsen & Sonner Eiendom AS,5076367973,NO
5063353452,Olympus Water UK Holding Ltd,5082181044,
5063735128,,,
5063737684,,,
5063763695,,,
5063763810,,,
5063763847,Jonelinvest NV,5042955074,BE
5063764057,Vallourec SA,4295867374,FR
5063765506,,,
5063770819,,,
5064611730,,,
5064705883,N2 Applied AS,5064705883,NO
5065875254,,,
5065875577,Betong Ost Trondelag AS,5065875577,NO
5066545550,CARPE DIEM RS AS,5071154374,NO
5066545600,Aleamd AS,5083549177,NO
5066545616,Byggtorget MG Holding AS,5066545616,NO
5066545625,,,
5066545663,,,
5066545664,,,
5066555711,Namdal Betong & Plast AS,5066555711,NO
5066556120,,,
5066556777,Sunbelt Massasjebad Norge AS,5066556777,NO
5066607259,Odel Holding AS,5062204977,NO
5066620092,Offside AS,5066561832,NO
5066620732,AURELIUS Equity Opportunities SE & Co KgaA,5046713276,DE
5066621268,Moelsa Industrier AS,4298455761,NO
5066621491,,,
5066625433,Bredesen Opset AS,5066625433,NO
5067159856,,,
5067168389,,,
5067169661,Alfa Group Holding AB,5044835008,SE
5067176082,,,
5067179420,,,
5067452384,,,
5067485444,,,
5067496226,,,
5067504105,,,
5067508797,Cooperatie NOV NL UA,5034751197,NL
5067840337,,,
5067945633,,,
5068308116,,,
5068340548,Tosca Ultimate Holdings SARL,5081483973,LU
5068476941,,,
5068481659,FSN Capital GP IV Ltd,5052130385,JE
5068481981,,,
5068485207,,,
5069410287,,,
5071150165,Havnegata Advokatbyra AB,5081387238,
5071153616,,,
5071514732,Xo Invest AS,5071153601,NO
5071532292,,,
5071536410,,,
5071555001,,,
5071561715,,,
5072804455,,,
5072805138,,,
5073093345,,,
5073151627,Johs Olsen Holding As,5038913804,NO
5073157223,Saint-Gobain Nordic A/S,5044066831,DK
5073345851,,,
5073622555,Glommen Mjosen Skog SA,5073622555,NO
5073651375,Oy Forcit Ab,4297989551,FI
5073651385,Celius Holding AS,5073671986,NO
5073651386,,,
5073651420,Helm AG,4295868951,DE
5073651468,International Coating Contractors Ltd,5032091769,
5073651858,Nordcon AS,5073651858,NO
5073651899,,,
5073651918,,,
5073651967,Lars Berland Holding As,5044642507,NO
5073652044,,,
5073652072,Henkel Holding KGaA & Co. KG,5064631903,DE
5073652101,,,
5073652273,Windsor Parent LP,5084003073,US
5073652295,Andvordgruppen AS,5038910706,NO
5073665798,Norsilva AS,5073665798,NO
5073665865,Nystuen Holding AS,5073671945,NO
5073665871,Wpef Viii Holding Cooperatief WA,5081137563,NL
5073666464,Tingvoll Eiendom AS,5073671192,NO
5073666482,Breivik Holding As,5038915073,NO
5073666674,Norteak AS,5073666674,NO
5073666678,GM-3S Holding AS,5073668674,NO
5073666772,,,
5073666805,Blackstone As,5044199301,NO
5073666812,,,
5073666943,Stena AB,4295890300,SE
5073667000,Mbp Group Holding Ltd,5044801224,CH
5073671945,,,
5073674941,,,
5074624637,,,
5074753805,Heidelberg Materials AG,4295868961,DE
5074857483,,,
5076086441,,,
5076370506,Bekken Invest As,5076370506,NO
5076942523,,,
5076950843,,,
5078355367,,,
5078521479,Baatholmen As,5044663908,NO
5078521557,Ogreid Holding AS,5083508176,NO
5078521579,,,
5078521726,,,
5079143312,,,
5079219899,,,
5079219912,,,
5079219917,,,
5079242370,Ry Holding AS,5048462743,NO
5079684218,,,
5079897001,,,
