Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5062141525,Manufacturing,,31-33
5062141531,Manufacturing,,31-33
5062141606,Manufacturing,,31-33
5062141620,"Agriculture, Forestry, Fishing and Hunting",,11
5062141622,Wholesale Trade,,42
5062141682,"Agriculture, Forestry, Fishing and Hunting",,11
5062141725,Manufacturing,,31-33
5062141750,"Mining, Quarrying, and Oil and Gas Extraction",,21
5062141836,Manufacturing,,31-33
5062141849,Wholesale Trade,,42
5062141853,"Agriculture, Forestry, Fishing and Hunting",,11
5062141890,Manufacturing,,31-33
5062141903,Manufacturing,,31-33
5062141930,Wholesale Trade,,42
5062141990,Manufacturing,,31-33
5062142061,Wholesale Trade,,42
5062142072,Manufacturing,,31-33
5062142091,"Agriculture, Forestry, Fishing and Hunting",,11
5062142148,Manufacturing,,31-33
5062142181,Wholesale Trade,,42
5062142221,Wholesale Trade,,42
5062142291,Manufacturing,,31-33
5062142378,"Agriculture, Forestry, Fishing and Hunting",,11
5062142380,Manufacturing,,31-33
5062142502,Manufacturing,,31-33
5062142532,Manufacturing,,31-33
5062142566,Manufacturing,,31-33
5062142571,Manufacturing,,31-33
5062142630,Manufacturing,,31-33
5062142636,Manufacturing,,31-33
5062142644,Manufacturing,,31-33
5062142688,"Mining, Quarrying, and Oil and Gas Extraction",,21
5062142731,Manufacturing,,31-33
5062142734,Manufacturing,,31-33
5062142743,Transportation and Warehousing,,48-49
5062142760,"Agriculture, Forestry, Fishing and Hunting",,11
5062142802,"Agriculture, Forestry, Fishing and Hunting",,11
5062142830,Wholesale Trade,,42
5062142833,Manufacturing,,31-33
5062142911,Manufacturing,,31-33
5062142915,Manufacturing,,31-33
5062142930,Manufacturing,,31-33
5062142945,Manufacturing,,31-33
5062142948,Manufacturing,,31-33
5062142957,Manufacturing,,31-33
5062143076,Wholesale Trade,,42
5062143129,Wholesale Trade,,42
5062143137,Manufacturing,,31-33
5062165127,,,
5062165175,Manufacturing,,31-33
5062348416,Manufacturing,,31-33
5062348482,"Agriculture, Forestry, Fishing and Hunting",,11
5062348488,"Agriculture, Forestry, Fishing and Hunting",,11
5062348740,"Agriculture, Forestry, Fishing and Hunting",,11
5062348741,"Agriculture, Forestry, Fishing and Hunting",,11
5062348831,Manufacturing,,31-33
5062348838,"Agriculture, Forestry, Fishing and Hunting",,11
5062348839,"Agriculture, Forestry, Fishing and Hunting",,11
5062348840,"Agriculture, Forestry, Fishing and Hunting",,11
5062349165,Transportation and Warehousing,,48-49
5062351391,Manufacturing,,31-33
5062351433,Manufacturing,,31-33
5062351441,Manufacturing,,31-33
5062351467,Manufacturing,,31-33
5062351469,Manufacturing,,31-33
5062351486,Manufacturing,,31-33
5062351525,Manufacturing,,31-33
5062351534,Manufacturing,,31-33
5062351538,Manufacturing,,31-33
5062351689,Manufacturing,,31-33
5062351704,"Agriculture, Forestry, Fishing and Hunting",,11
5062351706,Manufacturing,,31-33
5062351713,Manufacturing,,31-33
5062351724,Manufacturing,,31-33
5062351760,Manufacturing,,31-33
5062351824,Manufacturing,,31-33
5062351825,"Agriculture, Forestry, Fishing and Hunting",,11
5062351829,"Agriculture, Forestry, Fishing and Hunting",,11
5062388231,Wholesale Trade,,42
5062388318,Real Estate and Rental and Leasing,,53
5062388420,Wholesale Trade,,42
5062388447,Wholesale Trade,,42
5062388646,Manufacturing,,31-33
5062388819,Manufacturing,,31-33
5062389008,Wholesale Trade,,42
5062389024,Construction,,23
5062389128,Construction,549300Q3DMLBDIIEKJ69,23
5062455107,Wholesale Trade,549300CLHKXVYR9DC939,42
5062459910,Wholesale Trade,,42
5063190558,Manufacturing,,31-33
5063190685,"Agriculture, Forestry, Fishing and Hunting",,11
5063190729,Manufacturing,,31-33
5063190802,Manufacturing,,31-33
5063190836,Manufacturing,,31-33
5063190852,Manufacturing,,31-33
5063190854,Manufacturing,,31-33
5063190866,Transportation and Warehousing,,48-49
5063190870,Manufacturing,,31-33
5063190878,Manufacturing,,31-33
5063190914,Manufacturing,,31-33
5063190951,Manufacturing,,31-33
5063190989,Manufacturing,,31-33
5063191024,Manufacturing,,31-33
5063191037,"Agriculture, Forestry, Fishing and Hunting",,11
5063191091,Manufacturing,,31-33
5063191175,"Agriculture, Forestry, Fishing and Hunting",,11
5063191184,Manufacturing,,31-33
5063191219,Manufacturing,,31-33
5063191243,Retail Trade,,44-45
5063191251,Manufacturing,,31-33
5063191376,Manufacturing,,31-33
5063191430,Manufacturing,,31-33
5063191466,Manufacturing,,31-33
5063191603,Wholesale Trade,,42
5063191610,"Agriculture, Forestry, Fishing and Hunting",,11
5063191925,Manufacturing,,31-33
5063191933,Manufacturing,,31-33
5063191982,Manufacturing,,31-33
5063191992,Manufacturing,,31-33
5063192122,Manufacturing,,31-33
5063192205,"Agriculture, Forestry, Fishing and Hunting",,11
5063282442,Manufacturing,,31-33
5063297241,Manufacturing,,31-33
5063313957,"Mining, Quarrying, and Oil and Gas Extraction",5493001IHGLU1X18S133,21
5063353452,Manufacturing,,31-33
5063735128,Manufacturing,254900IA1W1AO9A5ND42,31-33
5063737684,Retail Trade,2549007LD7P32LE32R44,44-45
5063763695,Manufacturing,,31-33
5063763810,Wholesale Trade,,42
5063763847,Wholesale Trade,,42
5063764057,Manufacturing,,31-33
5063765506,"Mining, Quarrying, and Oil and Gas Extraction",,21
5063770819,Wholesale Trade,5493007R088XMVHY0B60,42
5064611730,Manufacturing,5493001WIMSXKSJN7N79,31-33
5064705883,Manufacturing,549300OAMUEPKVEO9U08,31-33
5065875254,Manufacturing,8945009DYQQYD87W5Q90,31-33
5065875577,Manufacturing,,31-33
5066545550,Manufacturing,,31-33
5066545600,Wholesale Trade,,42
5066545616,Wholesale Trade,,42
5066545625,Wholesale Trade,,42
5066545663,Manufacturing,,31-33
5066545664,Wholesale Trade,,42
5066555711,Manufacturing,,31-33
5066556120,Manufacturing,,31-33
5066556777,Retail Trade,,44-45
5066607259,Wholesale Trade,,42
5066620092,Wholesale Trade,,42
5066620732,Wholesale Trade,894500QKBV55W4Z5HR72,42
5066621268,Manufacturing,,31-33
5066621491,Manufacturing,,31-33
5066625433,Retail Trade,,44-45
5067159856,Manufacturing,959800CT50G9ZYHR6M79,31-33
5067168389,Manufacturing,549300VJXX4CL6IUWX64,31-33
5067169661,Manufacturing,,31-33
5067176082,Manufacturing,,31-33
5067179420,Manufacturing,529900BE9WK22I0YSW74,31-33
5067452384,"Professional, Scientific, and Technical Services",,54
5067485444,Manufacturing,,31-33
5067496226,Manufacturing,549300TTZ2SWA1327P17,31-33
5067504105,Manufacturing,,31-33
5067508797,Manufacturing,,31-33
5067840337,Manufacturing,,31-33
5067945633,"Mining, Quarrying, and Oil and Gas Extraction",,21
5068308116,Wholesale Trade,549300LEYZVMRO25IK77,42
5068340548,Manufacturing,549300Z4VK4GSH1X0129,31-33
5068476941,"Agriculture, Forestry, Fishing and Hunting",8945000A0ECOGIX21B54,11
5068481659,Manufacturing,,31-33
5068481981,Manufacturing,,31-33
5068485207,Manufacturing,,31-33
5069410287,Manufacturing,,31-33
5071150165,"Professional, Scientific, and Technical Services",,54
5071153616,,,
5071514732,Manufacturing,,31-33
5071532292,Wholesale Trade,254900UJTOEU1QIMM466,42
5071536410,Manufacturing,5493006TJSDD5JUHH815,31-33
5071555001,Wholesale Trade,,42
5071561715,,,
5072804455,"Agriculture, Forestry, Fishing and Hunting",,11
5072805138,Manufacturing,,31-33
5073093345,Manufacturing,984500CBE8988BD5EA05,31-33
5073151627,Wholesale Trade,,42
5073157223,Wholesale Trade,,42
5073345851,Manufacturing,,31-33
5073622555,"Agriculture, Forestry, Fishing and Hunting",254900755BZ9YBHMWA65,11
5073651375,Manufacturing,,31-33
5073651385,Wholesale Trade,,42
5073651386,Wholesale Trade,,42
5073651420,Wholesale Trade,,42
5073651468,Manufacturing,,31-33
5073651858,Wholesale Trade,,42
5073651899,,894500D3RMX441YZRI59,
5073651918,Manufacturing,549300DKOBEI39F0DR93,31-33
5073651967,,,
5073652044,Wholesale Trade,,42
5073652072,Wholesale Trade,,42
5073652101,Wholesale Trade,,42
5073652273,Wholesale Trade,,42
5073652295,Wholesale Trade,,42
5073665798,Wholesale Trade,,42
5073665865,Manufacturing,,31-33
5073665871,Manufacturing,,31-33
5073666464,Manufacturing,,31-33
5073666482,Manufacturing,,31-33
5073666674,"Agriculture, Forestry, Fishing and Hunting",5299004NGRINMOBKXZ77,11
5073666678,Manufacturing,,31-33
5073666772,"Agriculture, Forestry, Fishing and Hunting",,11
5073666805,Wholesale Trade,,42
5073666812,Wholesale Trade,,42
5073666943,Wholesale Trade,,42
5073667000,Manufacturing,,31-33
5073671945,Manufacturing,2549002KJTBVWL4WI546,31-33
5073674941,Wholesale Trade,549300VWHPY3UTLUTF97,42
5074624637,Manufacturing,894500G8S7YMOE6E1A06,31-33
5074753805,Manufacturing,,31-33
5074857483,Manufacturing,25490017RT4TY3RYIG24,31-33
5076086441,"Agriculture, Forestry, Fishing and Hunting",,11
5076370506,Finance and Insurance,8945004GFMMRBOR2Q659,52
5076942523,Manufacturing,,31-33
5076950843,Wholesale Trade,,42
5078355367,Manufacturing,,31-33
5078521479,Manufacturing,,31-33
5078521557,Manufacturing,,31-33
5078521579,,,
5078521726,,,
5079143312,Manufacturing,,31-33
5079219899,"Agriculture, Forestry, Fishing and Hunting",,11
5079219912,"Agriculture, Forestry, Fishing and Hunting",,11
5079219917,"Agriculture, Forestry, Fishing and Hunting",,11
5079242370,Wholesale Trade,,42
5079684218,Manufacturing,5493007TLWA2J2DEQ089,31-33
5079897001,,,
5079901788,Manufacturing,,31-33
5079905935,Manufacturing,,31-33
5079906356,Manufacturing,549300ZC52MF0RLMDM75,31-33
5079907959,"Mining, Quarrying, and Oil and Gas Extraction",,21
5079909479,Manufacturing,9845000F394CDE88CF94,31-33
5080039973,Manufacturing,,31-33
5080201049,Manufacturing,,31-33
5081122035,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081155179,Manufacturing,,31-33
5081169593,,,
5081394732,,894500NSUJWNR1BA7N04,
5081406812,"Mining, Quarrying, and Oil and Gas Extraction",549300NQFGK43NEL4Y16,21
5081414354,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081414396,Manufacturing,,31-33
5081414745,Wholesale Trade,,42
5081414822,Manufacturing,,31-33
5081414847,Wholesale Trade,636700VP0YSU9D8S3M53,42
5081414874,Manufacturing,,31-33
5081414901,Retail Trade,,44-45
5081414907,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081415014,Wholesale Trade,,42
5081415017,Wholesale Trade,,42
5081415042,Manufacturing,,31-33
5081415081,Manufacturing,,31-33
5081415151,Manufacturing,,31-33
5081415194,Wholesale Trade,,42
5081415196,Wholesale Trade,,42
5081415218,Wholesale Trade,,42
5081415290,Wholesale Trade,,42
5081415371,Manufacturing,,31-33
5081415458,Manufacturing,,31-33
5081415484,Manufacturing,,31-33
5081415544,Manufacturing,,31-33
5081415556,Manufacturing,,31-33
5081415654,Manufacturing,,31-33
5081415748,Wholesale Trade,,42
5081415750,Wholesale Trade,,42
5081415781,Manufacturing,,31-33
5081415828,Manufacturing,,31-33
5081415875,Wholesale Trade,,42
5081437355,,,
5081437391,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081437472,Manufacturing,,31-33
5081437502,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081437538,Wholesale Trade,,42
5081437542,"Mining, Quarrying, and Oil and Gas Extraction",,21
5081437555,Wholesale Trade,,42
