Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5062235114,Wholesale Trade,,42
5062235121,Wholesale Trade,,42
5062235126,Manufacturing,,31-33
5062235130,Manufacturing,,31-33
5062235153,Manufacturing,,31-33
5062235219,Wholesale Trade,,42
5062235250,Wholesale Trade,,42
5062235254,Wholesale Trade,,42
5062235283,Manufacturing,,31-33
5062235290,,,
5062235291,Manufacturing,,31-33
5062235292,Wholesale Trade,,42
5062235316,Wholesale Trade,,42
5062235318,Retail Trade,,44-45
5062235323,Wholesale Trade,,42
5062235324,Wholesale Trade,,42
5062235327,Wholesale Trade,,42
5062235338,Manufacturing,,31-33
5062235351,Manufacturing,,31-33
5062235360,Wholesale Trade,,42
5062235367,"Professional, Scientific, and Technical Services",,54
5062235372,Retail Trade,,44-45
5062235374,Wholesale Trade,,42
5062235375,Manufacturing,,31-33
5062235382,Retail Trade,,44-45
5062235387,Wholesale Trade,,42
5062235403,Manufacturing,,31-33
5062235404,Manufacturing,,31-33
5062235411,Retail Trade,,44-45
5062235413,Wholesale Trade,,42
5062235431,Manufacturing,,31-33
5062235457,Manufacturing,,31-33
5062235465,Manufacturing,,31-33
5062235468,Wholesale Trade,,42
5062235494,Manufacturing,,31-33
5062235498,Manufacturing,,31-33
5062235535,Manufacturing,,31-33
5062235540,Manufacturing,,31-33
5062235580,Manufacturing,,31-33
5062235581,Manufacturing,,31-33
5062235582,Manufacturing,,31-33
5062235605,Wholesale Trade,,42
5062235613,Manufacturing,,31-33
5062235614,Manufacturing,,31-33
5062235615,Manufacturing,,31-33
5062235627,Manufacturing,,31-33
5062235628,Manufacturing,,31-33
5062235632,Manufacturing,,31-33
5062235637,Other Services (except Public Administration),,81
5062235639,,,
5062235640,Manufacturing,,31-33
5062235641,Manufacturing,,31-33
5062235642,Retail Trade,,44-45
5062235644,Retail Trade,,44-45
5062235664,Manufacturing,,31-33
5062235665,Manufacturing,,31-33
5062235666,Manufacturing,,31-33
5062235667,Wholesale Trade,,42
5062235682,Wholesale Trade,,42
5062235683,Manufacturing,,31-33
5062235689,Wholesale Trade,,42
5062235731,Manufacturing,,31-33
5062235743,Manufacturing,,31-33
5062235771,Manufacturing,,31-33
5062235772,Manufacturing,,31-33
5062235776,Other Services (except Public Administration),,81
5062235787,Manufacturing,,31-33
5062235827,Manufacturing,,31-33
5062235829,Manufacturing,,31-33
5062235836,Manufacturing,,31-33
5062235860,Manufacturing,,31-33
5062235870,Manufacturing,,31-33
5062235874,Wholesale Trade,,42
5062235877,Manufacturing,,31-33
5062235879,Wholesale Trade,,42
5062235880,Manufacturing,,31-33
5062235882,Wholesale Trade,,42
5062235883,Manufacturing,,31-33
5062235893,Manufacturing,,31-33
5062235894,Manufacturing,,31-33
5062235900,Manufacturing,,31-33
5062235901,Manufacturing,,31-33
5062235906,Health Care and Social Assistance,,62
5062235917,Retail Trade,,44-45
5062235943,Manufacturing,,31-33
5062235974,Manufacturing,,31-33
5062235977,Manufacturing,,31-33
5062235978,Wholesale Trade,,42
5062235981,Manufacturing,,31-33
5062235982,Manufacturing,,31-33
5062235985,Manufacturing,,31-33
5062235988,Manufacturing,,31-33
5062235991,Manufacturing,,31-33
5062236001,Manufacturing,,31-33
5062236002,,,
5062236003,Manufacturing,,31-33
5062236012,Manufacturing,,31-33
5062236032,Retail Trade,,44-45
5062236043,Wholesale Trade,,42
5062236060,Manufacturing,,31-33
5062236068,Manufacturing,,31-33
5062236080,Manufacturing,,31-33
5062236081,"Agriculture, Forestry, Fishing and Hunting",,11
5062236092,Manufacturing,,31-33
5062236093,Other Services (except Public Administration),,81
5062236096,Manufacturing,,31-33
5062236099,Manufacturing,,31-33
5062236104,Manufacturing,,31-33
5062236106,Manufacturing,,31-33
5062236112,Retail Trade,,44-45
5062236116,Manufacturing,,31-33
5062236124,Manufacturing,,31-33
5062236138,Manufacturing,,31-33
5062236139,Manufacturing,,31-33
5062236146,Manufacturing,,31-33
5062236147,Manufacturing,,31-33
5062236150,Wholesale Trade,,42
5062236153,Manufacturing,,31-33
5062236158,Manufacturing,,31-33
5062236162,Manufacturing,,31-33
5062236164,"Agriculture, Forestry, Fishing and Hunting",,11
5062236170,Manufacturing,,31-33
5062236171,Manufacturing,,31-33
5062236172,Wholesale Trade,,42
5062236173,Manufacturing,,31-33
5062236181,Manufacturing,,31-33
5062236210,Manufacturing,,31-33
5062236220,Manufacturing,,31-33
5062236221,Manufacturing,,31-33
5062236222,,,
5062236225,Manufacturing,,31-33
5062236244,Manufacturing,,31-33
5062236250,Wholesale Trade,,42
5062236255,Manufacturing,,31-33
5062236260,Manufacturing,,31-33
5062236261,Manufacturing,,31-33
5062236266,Manufacturing,,31-33
5062236270,Manufacturing,,31-33
5062236272,Manufacturing,,31-33
5062236287,Wholesale Trade,,42
5062236302,Manufacturing,,31-33
5062236305,Manufacturing,,31-33
5062236306,Manufacturing,,31-33
5062236315,Manufacturing,,31-33
5062236317,Manufacturing,,31-33
5062236328,Manufacturing,,31-33
5062236330,Manufacturing,,31-33
5062236335,Manufacturing,,31-33
5062236337,Manufacturing,,31-33
5062236340,Manufacturing,,31-33
5062236341,Wholesale Trade,,42
5062236344,Manufacturing,,31-33
5062236347,Wholesale Trade,,42
5062236363,Retail Trade,,44-45
5062236376,Manufacturing,,31-33
5062236380,Retail Trade,,44-45
5062236383,Manufacturing,,31-33
5062236387,Manufacturing,,31-33
5062236394,Manufacturing,,31-33
5062236397,Manufacturing,,31-33
5062236404,Wholesale Trade,,42
5062236407,Manufacturing,,31-33
5062236408,Other Services (except Public Administration),,81
5062236410,Wholesale Trade,,42
5062236411,Manufacturing,,31-33
5062236412,Manufacturing,,31-33
5062236424,Manufacturing,,31-33
5062236427,Manufacturing,,31-33
5062236434,Manufacturing,,31-33
5062236446,Manufacturing,,31-33
5062236447,Manufacturing,,31-33
5062236451,Manufacturing,,31-33
5062236453,Manufacturing,,31-33
5062236455,Wholesale Trade,,42
5062236460,Manufacturing,,31-33
5062236471,Wholesale Trade,,42
5062236474,"Agriculture, Forestry, Fishing and Hunting",,11
5062236485,Manufacturing,,31-33
5062236489,Manufacturing,,31-33
5062236492,"Agriculture, Forestry, Fishing and Hunting",,11
5062236499,Manufacturing,,31-33
5062236513,Wholesale Trade,,42
5062236518,Manufacturing,,31-33
5062236532,Manufacturing,,31-33
5062236533,Other Services (except Public Administration),,81
5062236569,Manufacturing,,31-33
5062236595,Wholesale Trade,,42
5062236598,Manufacturing,,31-33
5062236612,Wholesale Trade,,42
5062236635,Wholesale Trade,,42
5062236649,Manufacturing,,31-33
5062236651,Manufacturing,,31-33
5062236675,Manufacturing,,31-33
5062236682,Manufacturing,,31-33
5062236684,Wholesale Trade,,42
5062236690,Wholesale Trade,,42
5062236700,Manufacturing,,31-33
5062236762,Manufacturing,,31-33
5062236768,Manufacturing,,31-33
5062236769,Manufacturing,,31-33
5062236772,Wholesale Trade,,42
5062236797,Wholesale Trade,,42
5062236810,Manufacturing,,31-33
5062236815,Manufacturing,,31-33
5062236819,"Agriculture, Forestry, Fishing and Hunting",,11
5062236830,Manufacturing,,31-33
5062236833,Manufacturing,,31-33
5062236840,Wholesale Trade,,42
5062236843,Manufacturing,,31-33
5062236846,Manufacturing,,31-33
5062236851,Manufacturing,,31-33
5062236852,Manufacturing,,31-33
5062236855,Manufacturing,,31-33
5062236862,Manufacturing,,31-33
5062236864,Wholesale Trade,,42
5062236869,Manufacturing,,31-33
5062236880,Wholesale Trade,,42
5062236883,Wholesale Trade,,42
5062236889,Manufacturing,,31-33
5062236912,Manufacturing,,31-33
5062236932,Manufacturing,,31-33
5062236936,Manufacturing,,31-33
5062236986,Manufacturing,,31-33
5062236990,Manufacturing,,31-33
5062236994,Wholesale Trade,,42
5062237000,Manufacturing,,31-33
5062237003,Manufacturing,,31-33
5062237020,Manufacturing,,31-33
5062237046,"Agriculture, Forestry, Fishing and Hunting",,11
5062237056,Manufacturing,,31-33
5062237070,Manufacturing,,31-33
5062237077,Manufacturing,,31-33
5062237078,Manufacturing,,31-33
5062237079,Manufacturing,,31-33
5062237086,Manufacturing,,31-33
5062237095,Manufacturing,,31-33
5062237107,Manufacturing,,31-33
5062237109,Manufacturing,,31-33
5062237115,Manufacturing,,31-33
5062237116,Manufacturing,,31-33
5062237118,Manufacturing,,31-33
5062237124,Manufacturing,,31-33
5062237136,Manufacturing,,31-33
5062237141,Manufacturing,,31-33
5062237144,Manufacturing,,31-33
5062237149,Manufacturing,,31-33
5062237150,Manufacturing,,31-33
5062237152,Manufacturing,,31-33
5062237156,Manufacturing,,31-33
5062237161,Manufacturing,,31-33
5062237162,Manufacturing,,31-33
5062237168,Manufacturing,,31-33
5062237173,Manufacturing,836800E39FTNF8OY2X35,31-33
5062237174,,,
5062237184,Manufacturing,,31-33
5062237190,Manufacturing,,31-33
5062237191,Manufacturing,,31-33
5062237192,Manufacturing,,31-33
5062237194,Manufacturing,,31-33
5062237201,Manufacturing,,31-33
5062237204,Manufacturing,,31-33
5062237206,Manufacturing,,31-33
5062237207,Manufacturing,,31-33
5062237213,Manufacturing,,31-33
5062237220,Manufacturing,,31-33
5062237222,Manufacturing,6556005GVI0C5W39JS64,31-33
5062237230,Manufacturing,,31-33
5062237233,Manufacturing,,31-33
5062237238,Manufacturing,,31-33
5062237243,Manufacturing,,31-33
5062237252,Retail Trade,,44-45
5062237256,Wholesale Trade,,42
5062237259,Manufacturing,,31-33
5062237260,Manufacturing,,31-33
5062237261,Wholesale Trade,,42
