Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5040933966,Wholesale Trade,,42
5040934228,Manufacturing,,31-33
5040934387,Manufacturing,,31-33
5040934389,Wholesale Trade,,42
5040934391,Wholesale Trade,,42
5040934394,Wholesale Trade,,42
5040934440,Manufacturing,,31-33
5040934642,Manufacturing,,31-33
5040934798,Retail Trade,,44-45
5040934829,Manufacturing,,31-33
5040934832,Wholesale Trade,,42
5040935378,Wholesale Trade,,42
5040935472,Wholesale Trade,,42
5040935473,Wholesale Trade,,42
5040935509,Manufacturing,,31-33
5040935598,Manufacturing,,31-33
5040935601,Wholesale Trade,,42
5040935707,Manufacturing,549300HOLKW6B4TI8X51,31-33
5040935710,Wholesale Trade,,42
5040935733,Retail Trade,,44-45
5040935778,Manufacturing,,31-33
5040935786,Manufacturing,549300T33N68MIRZR890,31-33
5040935805,Wholesale Trade,,42
5040935981,Manufacturing,,31-33
5040936224,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040936236,Manufacturing,,31-33
5040936237,Manufacturing,,31-33
5040936268,Manufacturing,,31-33
5040936277,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040936425,Wholesale Trade,,42
5040936593,Manufacturing,,31-33
5040936670,Manufacturing,,31-33
5040936695,Wholesale Trade,,42
5040936962,Manufacturing,,31-33
5040936963,Wholesale Trade,6367003FVJJTXF8YQ252,42
5040937024,Wholesale Trade,,42
5040937027,Manufacturing,,31-33
5040937038,Wholesale Trade,,42
5040937050,Manufacturing,,31-33
5040937078,Wholesale Trade,,42
5040937092,Wholesale Trade,,42
5040937101,Manufacturing,,31-33
5040937137,Manufacturing,,31-33
5040937241,Manufacturing,549300QP64X50Q2Q3D13,31-33
5040937274,Manufacturing,,31-33
5040937450,Manufacturing,,31-33
5040937492,Manufacturing,,31-33
5040937497,Manufacturing,,31-33
5040937520,Manufacturing,,31-33
5040937524,Manufacturing,,31-33
5040937536,Wholesale Trade,,42
5040937540,Wholesale Trade,,42
5040937553,Manufacturing,,31-33
5040937555,Manufacturing,,31-33
5040937614,Manufacturing,,31-33
5040937649,Manufacturing,,31-33
5040937677,Wholesale Trade,549300IEGDZK2OM8WZ86,42
5040937708,Manufacturing,549300T8KLEC56QSVH28,31-33
5040937711,Manufacturing,549300TJ05GRX60KEM40,31-33
5040937814,Manufacturing,,31-33
5040937980,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040937986,Manufacturing,,31-33
5040937999,Manufacturing,,31-33
5040938038,Manufacturing,,31-33
5040938057,Manufacturing,,31-33
5040938066,Manufacturing,549300ZX49LHAJTFTM46,31-33
5040938088,Manufacturing,,31-33
5040938144,Wholesale Trade,,42
5040938153,Manufacturing,,31-33
5040938156,Wholesale Trade,549300SWKWB8O7O4IZ27,42
5040938167,Manufacturing,,31-33
5040938210,Manufacturing,,31-33
5040938213,Manufacturing,,31-33
5040938241,Manufacturing,254900565H01I60V1425,31-33
5040938256,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040938302,Manufacturing,,31-33
5040938307,Manufacturing,,31-33
5040938343,Manufacturing,,31-33
5040938348,Manufacturing,,31-33
5040938350,Manufacturing,,31-33
5040938369,Wholesale Trade,,42
5040938389,Manufacturing,,31-33
5040938428,Retail Trade,,44-45
5040938460,Manufacturing,,31-33
5040938533,Retail Trade,,44-45
5040938537,Wholesale Trade,,42
5040938605,Manufacturing,5493007L244Y4XD6J773,31-33
5040938617,,,
5040938619,Manufacturing,,31-33
5040938881,Wholesale Trade,984500599A6CE3C88767,42
5040938883,Wholesale Trade,,42
5040938925,Manufacturing,,31-33
5040938965,Manufacturing,,31-33
5040939008,Wholesale Trade,,42
5040939098,Manufacturing,,31-33
5040939135,"Mining, Quarrying, and Oil and Gas Extraction",636700WYNE3KOT8JHJ28,21
5040939142,Wholesale Trade,,42
5040939177,Wholesale Trade,,42
5040939243,Manufacturing,,31-33
5040939314,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040939315,Wholesale Trade,,42
5040939319,Wholesale Trade,,42
5040939434,Wholesale Trade,,42
5040939494,Manufacturing,549300FLP2DYG4PB8X05,31-33
5040939496,Manufacturing,,31-33
5040939498,Wholesale Trade,,42
5040939503,Manufacturing,,31-33
5040939520,Wholesale Trade,,42
5040939522,Wholesale Trade,,42
5040939528,Manufacturing,,31-33
5040939549,Manufacturing,,31-33
5040939550,"Agriculture, Forestry, Fishing and Hunting",,11
5040939639,Wholesale Trade,549300IBRD1WCB5D2U95,42
5040939643,Manufacturing,254900WX3J48J4ZCWU87,31-33
5040939657,Wholesale Trade,,42
5040939661,Wholesale Trade,,42
5040939684,Wholesale Trade,254900RY84MXZY00U496,42
5040939687,Wholesale Trade,,42
5040939752,Manufacturing,,31-33
5040939754,Wholesale Trade,,42
5040939757,Manufacturing,,31-33
5040939806,Manufacturing,,31-33
5040939932,Manufacturing,,31-33
5040939995,Manufacturing,,31-33
5040940002,"Mining, Quarrying, and Oil and Gas Extraction",549300ORMNXLT89QWJ49,21
5040940004,"Agriculture, Forestry, Fishing and Hunting",9845008CBXDF94648A31,11
5040940047,Wholesale Trade,,42
5040940053,Manufacturing,549300LQXPG4HIE21721,31-33
5040940061,Wholesale Trade,894500COD4OSCG19BL53,42
5040940075,Retail Trade,,44-45
5040940153,Manufacturing,,31-33
5040940161,Wholesale Trade,,42
5040940208,Manufacturing,,31-33
5040940209,Wholesale Trade,,42
5040940216,Manufacturing,,31-33
5040940219,Manufacturing,,31-33
5040940249,Wholesale Trade,,42
5040940289,Wholesale Trade,549300DIXPCMDRGE4R66,42
5040940363,Wholesale Trade,,42
5040940522,Manufacturing,,31-33
5040940533,Manufacturing,,31-33
5040940582,Manufacturing,,31-33
5040940664,Wholesale Trade,,42
5040940718,"Mining, Quarrying, and Oil and Gas Extraction",,21
5040940731,Manufacturing,,31-33
5040940885,Retail Trade,,44-45
5040940890,Wholesale Trade,549300UBPBN63VXSFF61,42
5040941180,Manufacturing,,31-33
5040941266,Retail Trade,,44-45
5040941282,Manufacturing,,31-33
5040941357,Manufacturing,,31-33
5040941361,Wholesale Trade,,42
5040941372,Manufacturing,,31-33
5040941374,Manufacturing,,31-33
5040941377,Wholesale Trade,,42
5040944961,Manufacturing,,31-33
5040945179,Manufacturing,,31-33
5040945192,Manufacturing,,31-33
5040945385,Manufacturing,,31-33
5040945644,Wholesale Trade,5493006RRT690Y5X7E08,42
5040945646,Manufacturing,5493005IZM7S8OC4YO63,31-33
5040945656,Wholesale Trade,,42
5040945665,Manufacturing,,31-33
5040945706,Wholesale Trade,,42
5040945813,Wholesale Trade,,42
5040945819,Wholesale Trade,549300CQ31WERDLDUH35,42
5040945827,Manufacturing,,31-33
5040945828,Wholesale Trade,5493008F38A0ZG0OU994,42
5040945836,Manufacturing,,31-33
5040945880,Wholesale Trade,549300PT51U1ENOGUL90,42
5040945889,Wholesale Trade,,42
5040945899,Wholesale Trade,,42
5040945938,Wholesale Trade,,42
5040945975,Manufacturing,,31-33
5040946421,Manufacturing,54930099FE1EGTHETQ41,31-33
5041748646,Manufacturing,549300SEC9J3F7AFRU60,31-33
5041748767,Wholesale Trade,,42
5041748922,Manufacturing,,31-33
5041748945,Manufacturing,984500A01AE104ED9329,31-33
5041749244,Wholesale Trade,,42
5041749808,Manufacturing,,31-33
5041749821,Wholesale Trade,,42
5041749963,Manufacturing,,31-33
5041749990,Wholesale Trade,5493006HTGFQROE1KK25,42
5041750368,Manufacturing,,31-33
5041750524,Manufacturing,,31-33
5041750685,Wholesale Trade,,42
5041750699,Manufacturing,,31-33
5041750701,Wholesale Trade,,42
5041750723,Wholesale Trade,,42
5041751459,Manufacturing,,31-33
5041758996,Wholesale Trade,,42
5041758997,Wholesale Trade,,42
5041759002,Wholesale Trade,,42
5041759220,Manufacturing,,31-33
