Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5040933966,Daloc Norge As,NO,Act
5040934228,Stryvo Oslo AS,NO,Act
5040934387,Nefab Packaging Norway AS,NO,Act
5040934389,LG Quick Lager As,NO,Act
5040934391,Gjodsel A/S,NO,Act
5040934394,Valdres Byggsenter As,NO,Act
5040934440,Unimek As,NO,Act
5040934642,Bruland Trevareindustri AS,NO,Act
5040934798,Taksenteret AS,NO,Act
5040934829,Bewi Thermo As,NO,Act
5040934832,Ringebu Sag As,NO,Act
5040935378,PCP Norge As,NO,Act
5040935472,Freddy Rybom As,NO,Act
5040935473,Nygard Og Malum Skogkontor As,NO,Act
5040935509,Jemtland As,NO,Act
5040935598,Erling Freitag As,NO,Act
5040935601,GLASSFIBER PRODUKTER AS,NO,Act
5040935707,Vikaune Fabrikker As,NO,Act
5040935710,Keddell & Bommen A/S,NO,Act
5040935733,Brodr Berg Stenindustri As,NO,Act
5040935778,Ivar Brathen Mekaniske As,NO,Act
5040935786,Hafsil AS,NO,Act
5040935805,Billakkspesialisten As,NO,Act
5040935981,Sor Stal AS,NO,Act
5040936224,Visnes Kalk As,NO,Act
5040936236,Brodr Borgen Ferdigbetong As,NO,Act
5040936237,Sotra Takstol As,NO,Act
5040936268,Jotne Hollung As,NO,Act
5040936277,Grefsrud AS,NO,Act
5040936425,K J Karlsen As,NO,Act
5040936593,Paragon Nordic AS,NO,Act
5040936670,Norsk Etikett AS,NO,Act
5040936695,Bjorgvin Kjokken As,NO,Act
5040936962,CNC Produkter As,NO,Act
5040936963,Norlock AS,NO,Act
5040937024,Tapwell As,NO,Act
5040937027,Emv Construction As,NO,Act
5040937038,Nilsson Trelast As,NO,Act
5040937050,Fiskum Plate& Sveiseverksted As,NO,Act
5040937078,Fliskonsept AS,NO,Act
5040937092,Oygarden Byggsenter As,NO,Act
5040937101,Smed T Kristiansen As,NO,Act
5040937137,Albert Fjeld As,NO,Act
5040937241,Frekhaug Stal AS,NO,Act
5040937274,Vefi AS,NO,Act
5040937450,H Henriksen As,NO,Act
5040937492,Sigurd Seland Smie & Mek Verksted As,NO,Act
5040937497,Glomma Pall As,NO,Act
5040937520,Johansen & Co Stansefabrikk As,NO,Act
