Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5082939794,Construction,,23
5082939797,Administrative and Support and Waste Management and Remediation Services,,56
5082939809,Construction,,23
5082939813,Transportation and Warehousing,,48-49
5082939814,Administrative and Support and Waste Management and Remediation Services,,56
5082939816,Transportation and Warehousing,,48-49
5082939827,Wholesale Trade,,42
5082939830,Construction,,23
5082939836,Construction,,23
5082939844,Construction,,23
5082939848,"Professional, Scientific, and Technical Services",,54
5082939854,Administrative and Support and Waste Management and Remediation Services,,56
5082939856,Manufacturing,,31-33
5082939862,"Professional, Scientific, and Technical Services",,54
5082939863,Wholesale Trade,,42
5082939874,Transportation and Warehousing,,48-49
5082939876,Manufacturing,,31-33
5082939882,Transportation and Warehousing,,48-49
5082939883,Wholesale Trade,,42
5082939885,"Professional, Scientific, and Technical Services",,54
5082939887,Manufacturing,,31-33
5082939888,Transportation and Warehousing,,48-49
5082939894,Construction,,23
5082939905,Construction,,23
5082939921,Transportation and Warehousing,,48-49
5082939926,Wholesale Trade,,42
5082939927,Construction,,23
5082939930,Construction,,23
5082939934,Administrative and Support and Waste Management and Remediation Services,,56
5082939936,Manufacturing,,31-33
5082939945,Real Estate and Rental and Leasing,,53
5082939946,Transportation and Warehousing,,48-49
5082939959,Wholesale Trade,,42
5082939964,Transportation and Warehousing,,48-49
5082939967,Construction,,23
5082939986,Construction,,23
5082939996,Construction,,23
5082939998,Manufacturing,,31-33
5082940006,Transportation and Warehousing,,48-49
5082940009,Construction,,23
5082940015,Transportation and Warehousing,,48-49
5082940018,Construction,,23
5082940019,Wholesale Trade,,42
5082940032,Transportation and Warehousing,,48-49
5082940033,Transportation and Warehousing,,48-49
5082940034,Real Estate and Rental and Leasing,,53
5082940046,Administrative and Support and Waste Management and Remediation Services,,56
5082940070,Manufacturing,,31-33
5082940073,Administrative and Support and Waste Management and Remediation Services,,56
5082940078,Wholesale Trade,,42
5082940087,Wholesale Trade,,42
5082940092,Administrative and Support and Waste Management and Remediation Services,,56
5082940097,"Professional, Scientific, and Technical Services",,54
5082940098,Construction,,23
5082940099,Administrative and Support and Waste Management and Remediation Services,,56
5082940100,"Professional, Scientific, and Technical Services",,54
5082940107,Manufacturing,,31-33
5082940108,"Professional, Scientific, and Technical Services",,54
5082940110,Wholesale Trade,,42
5082940112,Manufacturing,,31-33
5082940117,Transportation and Warehousing,,48-49
5082940120,Transportation and Warehousing,,48-49
5082940121,"Professional, Scientific, and Technical Services",,54
5082940131,Wholesale Trade,,42
5082940132,Wholesale Trade,,42
5082940133,Manufacturing,,31-33
5082940136,Administrative and Support and Waste Management and Remediation Services,,56
5082940137,Manufacturing,,31-33
5082940138,Real Estate and Rental and Leasing,,53
5082940152,Wholesale Trade,,42
5082940163,Wholesale Trade,,42
5082940164,Wholesale Trade,,42
5082940168,Manufacturing,,31-33
5082940171,Transportation and Warehousing,,48-49
5082940172,Manufacturing,,31-33
5082940173,Transportation and Warehousing,,48-49
5082940174,Transportation and Warehousing,,48-49
5082940184,Construction,,23
5082940190,Transportation and Warehousing,,48-49
5082940193,Administrative and Support and Waste Management and Remediation Services,,56
5082940195,Transportation and Warehousing,,48-49
5082940204,Administrative and Support and Waste Management and Remediation Services,,56
5082940209,Manufacturing,,31-33
5082940211,Administrative and Support and Waste Management and Remediation Services,,56
5082940214,Transportation and Warehousing,,48-49
5082940225,Transportation and Warehousing,,48-49
5082940235,Manufacturing,,31-33
5082940236,Wholesale Trade,,42
5082940250,Administrative and Support and Waste Management and Remediation Services,,56
5082940286,Transportation and Warehousing,,48-49
5082940289,"Professional, Scientific, and Technical Services",,54
5082940293,Health Care and Social Assistance,,62
5082940294,"Professional, Scientific, and Technical Services",,54
5082940296,Transportation and Warehousing,,48-49
5082940306,Transportation and Warehousing,,48-49
5082940310,Transportation and Warehousing,,48-49
5082940327,Manufacturing,,31-33
5082940351,Transportation and Warehousing,,48-49
5082940354,Transportation and Warehousing,,48-49
5082940355,Other Services (except Public Administration),,81
5082940398,Administrative and Support and Waste Management and Remediation Services,,56
5083151031,Transportation and Warehousing,,48-49
5083151145,Manufacturing,,31-33
5083151236,Transportation and Warehousing,,48-49
5083151242,"Professional, Scientific, and Technical Services",,54
5083161933,Construction,,23
5083162018,Administrative and Support and Waste Management and Remediation Services,,56
5083201623,Wholesale Trade,,42
5083225724,Transportation and Warehousing,,48-49
5083236382,Manufacturing,,31-33
5083236405,Transportation and Warehousing,,48-49
5083236569,"Professional, Scientific, and Technical Services",,54
5083236938,Transportation and Warehousing,,48-49
5083237167,Wholesale Trade,,42
5083237439,Wholesale Trade,,42
5083237484,Wholesale Trade,,42
5083237764,Construction,,23
5083237937,Transportation and Warehousing,,48-49
5083238380,"Professional, Scientific, and Technical Services",,54
5083238413,Transportation and Warehousing,,48-49
5083238736,Wholesale Trade,,42
5083239021,Construction,,23
5083239379,Wholesale Trade,,42
5083239519,Manufacturing,,31-33
5083239646,Real Estate and Rental and Leasing,,53
5083239677,Manufacturing,,31-33
5083240045,Wholesale Trade,,42
5083240138,Construction,,23
5083240392,Administrative and Support and Waste Management and Remediation Services,,56
5083240472,Wholesale Trade,,42
5083240565,Wholesale Trade,,42
5083240603,Wholesale Trade,,42
5083240618,Manufacturing,,31-33
5083240635,Construction,,23
5083240671,Wholesale Trade,,42
5083240865,Wholesale Trade,,42
5083240891,Wholesale Trade,,42
5083240894,Transportation and Warehousing,,48-49
5083240919,Manufacturing,,31-33
5083240925,Wholesale Trade,,42
5083240960,"Professional, Scientific, and Technical Services",,54
5083240962,"Professional, Scientific, and Technical Services",,54
5083240968,Wholesale Trade,,42
5083240973,Wholesale Trade,,42
5083240982,Wholesale Trade,,42
5083240989,Administrative and Support and Waste Management and Remediation Services,,56
