Instrument,TRBC Industry Group Name,SIC Industry Code,GICS Sub-Industry Code
5082068583,Personal & Household Products & Services,,
5082069154,Personal & Household Products & Services,,
5082069286,Personal & Household Products & Services,,
5082071849,Food & Tobacco,,
5082086422,Personal & Household Products & Services,,
5082088939,Beverages,,
5082095955,Beverages,,
5082096156,Personal & Household Products & Services,,
5082103432,Personal & Household Products & Services,,
5082105073,Personal & Household Products & Services,,
5082105785,Personal & Household Products & Services,,
5082107289,Personal & Household Products & Services,,
5082107776,Food & Tobacco,,
5082108859,Food & Tobacco,,
5082109319,Personal & Household Products & Services,,
5082110833,Food & Tobacco,,
5082112022,Food & Tobacco,,
5082112132,Beverages,,
5082124664,Beverages,,
5082137670,Food & Tobacco,,
5082143202,Personal & Household Products & Services,,
5082145169,Food & Drug Retailing,,
5082148758,Personal & Household Products & Services,,
5082149584,Food & Drug Retailing,,
5082150360,Food & Tobacco,,
5082151381,Personal & Household Products & Services,,
5082152091,Personal & Household Products & Services,,
5082166813,Food & Tobacco,,
5082178971,Food & Drug Retailing,,
5082341875,Food & Drug Retailing,,
5082341888,Food & Tobacco,,
5082341891,Personal & Household Products & Services,,
5082355554,Food & Drug Retailing,,
5082355571,Food & Drug Retailing,,
5082355683,,,
5082355718,Food & Tobacco,,
5082355720,Healthcare Equipment & Supplies,,
5082355735,Food & Drug Retailing,,
5082355746,Food & Tobacco,,
5082355760,Personal & Household Products & Services,,
5082355836,Water & Related Utilities,,
5082355866,Personal & Household Products & Services,,
5082355883,Food & Tobacco,,
5082355886,Food & Tobacco,,
5082355952,Food & Tobacco,,
5082358929,Food & Drug Retailing,,
5082358958,Food & Tobacco,,
5082359040,Personal & Household Products & Services,,
5082359758,Personal & Household Products & Services,,
5082359765,Personal & Household Products & Services,,
5082360107,Food & Tobacco,,
5082360785,Personal & Household Products & Services,,
5082360801,Food & Tobacco,,
5082360812,Food & Tobacco,,
5082360814,Food & Tobacco,,
5082360815,Personal & Household Products & Services,,
5082360826,Beverages,,
5082360844,Food & Drug Retailing,,
5082360845,Food & Tobacco,,
5082360849,Food & Tobacco,,
5082360857,Water & Related Utilities,,
5082360861,Food & Tobacco,,
5082360865,Food & Tobacco,,
5082360876,Food & Drug Retailing,,
5082360954,,,
5082361109,Food & Tobacco,,
5082361147,Pharmaceuticals,,
5082361173,Personal & Household Products & Services,,
5082395773,Food & Tobacco,,
5082419760,Personal & Household Products & Services,,
5082445343,Personal & Household Products & Services,,
5082446760,Personal & Household Products & Services,,
5082450392,Food & Drug Retailing,,
5082451796,Food & Drug Retailing,,
5082452288,Personal & Household Products & Services,,
5082467162,Food & Tobacco,,
5082499805,Food & Tobacco,,
5082503354,Food & Tobacco,,
5082503651,Personal & Household Products & Services,,
5082525049,Food & Drug Retailing,,
5082527864,Food & Tobacco,,
5082531062,Food & Tobacco,,
5082533788,Specialty Retailers,,
5082535002,Food & Tobacco,,
5082535415,Personal & Household Products & Services,,
5082535505,Food & Tobacco,,
5082535582,Food & Drug Retailing,,
5082535612,,,
5082535661,,,
5082638546,Household Goods,,
5082703971,Chemicals,,
5082703972,Food & Tobacco,,
5082749966,Food & Tobacco,,
5083182266,Food & Drug Retailing,,
5083184958,Food & Drug Retailing,,
5083185217,Food & Tobacco,,
5083185390,Food & Drug Retailing,,
5083185908,Food & Drug Retailing,,
5083186042,Food & Drug Retailing,,
5083221833,Food & Tobacco,,
5083222324,Food & Tobacco,,
5083224798,Food & Tobacco,,
5083225568,Food & Tobacco,,
5083243489,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,
5083253201,Food & Tobacco,,
5083253230,Food & Tobacco,,
5083253452,Food & Drug Retailing,,
5083253487,Personal & Household Products & Services,,
5083253506,Personal & Household Products & Services,,
5083253705,Food & Drug Retailing,,
5083253741,Personal & Household Products & Services,,
5083253776,Food & Drug Retailing,,
5083253815,Personal & Household Products & Services,,
5083253862,Food & Drug Retailing,,
5083253909,Food & Tobacco,,
5083254219,Food & Drug Retailing,,
5083254245,Food & Tobacco,,
5083254246,Food & Drug Retailing,,
5083254352,Food & Tobacco,,
5083254422,Food & Drug Retailing,,
5083254423,Food & Tobacco,,
5083254442,Food & Drug Retailing,,
5083254498,Food & Drug Retailing,,
5083254577,Food & Tobacco,,
5083254688,Food & Drug Retailing,,
5083254809,Food & Drug Retailing,,
5083254919,Food & Tobacco,,
5083254955,Food & Tobacco,,
5083255064,Food & Tobacco,,
5083255070,Food & Drug Retailing,,
5083255085,Healthcare Equipment & Supplies,,
5083255113,Beverages,,
5083255159,,,
5083255168,Food & Drug Retailing,,
5083255296,Food & Drug Retailing,,
5083255371,Food & Tobacco,,
5083255375,Food & Tobacco,,
5083255579,Personal & Household Products & Services,,
5083255618,Food & Drug Retailing,,
5083255644,Food & Tobacco,,
5083255656,Food & Tobacco,,
5083255735,Beverages,,
5083255818,Food & Drug Retailing,,
5083255926,Food & Drug Retailing,,
5083255955,Beverages,,
5083255973,Food & Tobacco,,
5083255975,Food & Drug Retailing,,
5083256087,Food & Drug Retailing,,
5083256099,Food & Tobacco,,
5083256304,Food & Drug Retailing,,
5083256430,Food & Drug Retailing,,
5083256505,Personal & Household Products & Services,,
5083256506,Beverages,,
5083256571,Food & Tobacco,,
5083256599,Food & Tobacco,,
5083256726,Food & Tobacco,,
